dataset,g,k,m,C,iters,acc sample 1,acc sample 2,acc sample 3,acc sample 4,acc sample 5,mean acc,lower acc,upper acc,auc sample 1,auc sample 2,auc sample 3,auc sample 4,auc sample 5,mean auc,lower auc,upper auc,stdev sample 1,stdev sample 2,stdev sample 3,stdev sample 4,stdev sample 5,mean stdev,lower stdev,upper stdev
AImed,11,7,4,100.0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.648662,0.657456,0.6883859999999999,0.509576,0.65275,0.6313660000000001,0.5446244166822621,0.718107583317738,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923
AImed,11,7,4,100.0,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.67,0.6666666666666666,0.6673333333333333,0.6654823699298681,0.6691842967367986,0.630036,0.489012,0.7013739999999999,0.69262,0.700044,0.6426172,0.5298317885857697,0.7554026114142303,0.5226344717182396,0.714989567873157,1.1335574427998902,6.607484467498208,0.16236988504392094,1.828207166986683,-1.517542652513375,5.173956986486742
AImed,11,7,4,100.0,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7116579999999999,0.70963,0.715998,0.677338,0.671192,0.6971632000000001,0.6709128563256701,0.7234135436743301,0.5743734443342187,0.6269625047642357,0.2067011569216143,3.1609620111802097,0.3034458117575407,0.9744889857915637,-0.5590199005370053,2.507997872120133
AImed,11,7,4,100.0,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.693932,0.703812,0.7126999999999999,0.711956,0.7059679999999999,0.7056736,0.6962529731748259,0.7150942268251741,0.27086162097376026,0.14988899257278762,0.4227176930095704,0.15731268723578912,0.5521563093251213,0.31058746062340575,0.09389664219743624,0.5272782790493753
AImed,11,7,4,100.0,8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.715152,0.7112759999999999,0.693948,0.543704,0.7036959999999999,0.6735552,0.5828652210044664,0.7642451789955337,0.8664616128980781,0.11993434080159406,0.16534404751677462,0.1750899573846373,0.6591364141103571,0.39719327454228825,-0.027876502076685294,0.8222630511612619
AImed,11,7,4,100.0,10,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.707526,0.71234,0.707986,0.6991180000000001,0.6415139999999999,0.6936968,0.6569918652423989,0.7304017347576011,0.17767245905706383,0.25382807974442717,0.26567382970838915,0.312134926087399,0.07693313638149268,0.21724848619575435,0.10287179241882582,0.33162517997268287
AImed,11,7,4,100.0,15,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7120779999999999,0.71226,0.70844,0.710378,0.7152759999999999,0.7116863999999999,0.7085440688362314,0.7148287311637684,0.17125397398761688,0.13687311565684246,0.18270230377421365,0.11605079199788955,0.11435046660617296,0.1442461304045471,0.10522057931930727,0.1832716814897869
AImed,11,7,4,100.0,20,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.650356,0.709186,0.706676,0.714702,0.708904,0.6979648,0.6647157938925229,0.7312138061074772,0.1393761595742948,0.08467122630597369,0.035045941004212024,0.09945548229600688,0.14188918973916076,0.10008759978392963,0.04539992814865333,0.15477527141920594
AImed,11,7,4,100.0,25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7142379999999999,0.707538,0.71412,0.71296,0.712076,0.7121864,0.7087765603323536,0.7155962396676464,0.05327620624219167,0.2190809203206486,0.03105258769105065,0.05793482008682122,0.08845960988498484,0.0899608288451394,-0.0031967851693831123,0.1831184428596619
AImed,11,7,4,100.0,30,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6339439999999998,0.7163619999999999,0.7144900000000001,0.7131679999999999,0.712798,0.6981524,0.6535509581823231,0.7427538418176769,0.028443758105187636,0.08637756729689533,0.052393530527453894,0.06222058789461671,0.029049036767013914,0.05169689611823349,0.02148835485562232,0.08190543738084466
