dataset,g,k,m,C,iters,acc sample 1,acc sample 2,acc sample 3,acc sample 4,acc sample 5,mean acc,lower acc,upper acc,auc sample 1,auc sample 2,auc sample 3,auc sample 4,auc sample 5,mean auc,lower auc,upper auc,stdev sample 1,stdev sample 2,stdev sample 3,stdev sample 4,stdev sample 5,mean stdev,lower stdev,upper stdev
CTCF,13,6,7,1.0,1,0.8485,0.839,0.8335,0.8515,0.86,0.8465,0.8335292162924128,0.8594707837075872,0.9292260000000001,0.9219330000000001,0.9093910000000001,0.93299,0.932687,0.9252454,0.9129295043410054,0.9375612956589946,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923
CTCF,13,6,7,1.0,2,0.8745,0.8905,0.864,0.8825,0.883,0.8789,0.8663952044015564,0.8914047955984437,0.9476549999999998,0.9541339999999999,0.9373710000000001,0.9496039999999999,0.955106,0.9487739999999999,0.9399767143158144,0.9575712856841854,1.107634110768683,1.1621943263387209,0.9424546485734426,1.1638653632221152,1.1965369403721569,1.1145370778550237,0.9886926032355405,1.2403815524745068
CTCF,13,6,7,1.0,4,0.8925,0.8995,0.898,0.8865,0.904,0.8961,0.8877084271914267,0.9044915728085733,0.959169,0.959411,0.961703,0.95819,0.9593830000000002,0.9595712000000001,0.9579672011650346,0.9611751988349655,0.45189931865168737,0.45659697903749147,0.46434403921077894,0.48612629137710733,0.4696488157474626,0.4657230888049056,0.4492039837193178,0.4822421938904934
CTCF,13,6,7,1.0,6,0.8945,0.898,0.9015,0.893,0.8975,0.8968999999999999,0.8927959295062758,0.901004070493724,0.962135,0.961819,0.9611129999999999,0.9593639999999999,0.962549,0.9613959999999999,0.9598422357297288,0.962949764270271,0.29702888417144757,0.28825771141511936,0.2684168225891382,0.2896248586026271,0.3059528962864683,0.2898562346129601,0.27259747778770255,0.3071149914382177
CTCF,13,6,7,1.0,8,0.9025,0.907,0.8985,0.907,0.896,0.9022,0.8960446769313057,0.9083553230686943,0.963758,0.965623,0.9641230000000001,0.963659,0.963285,0.9640896,0.9629626253704082,0.9652165746295918,0.21536873737543075,0.20367399085220914,0.2218431745140555,0.20591926442772063,0.20324161400090943,0.21000935623406508,0.19978106168540444,0.22023765078272572
CTCF,13,6,7,1.0,10,0.911,0.9025,0.9035,0.9035,0.9075,0.9056,0.9011576878316835,0.9100423121683164,0.968162,0.9647320000000001,0.9639280000000001,0.963686,0.9667969999999999,0.965461,0.9630475319128632,0.9678744680871368,0.18609593242642034,0.16126289491146703,0.16185488494984782,0.16556351559011512,0.17392778388607588,0.16974100235278525,0.15676972201405454,0.18271228269151596
CTCF,13,6,7,1.0,15,0.9075,0.906,0.903,0.9055,0.905,0.9054,0.9033692054828554,0.9074307945171446,0.9675139999999999,0.9662929999999998,0.964166,0.9662040000000001,0.9658919999999999,0.9660138,0.9645194212945108,0.9675081787054892,0.120061859958459,0.10811219267830548,0.11085857211624109,0.111941066077794,0.11453215206882503,0.11310116857992492,0.10748739515168192,0.11871494200816791
CTCF,13,6,7,1.0,20,0.91,0.9055,0.9125,0.908,0.9075,0.9087,0.9053973138050398,0.91200268619496,0.96646,0.96657,0.968065,0.9675309999999999,0.96722,0.9671692000000001,0.9663367425797544,0.9680016574202457,0.09574650511866978,0.08154908331712683,0.08162825905372845,0.08106320077160226,0.0840342523387633,0.08480426011997813,0.07707485631747638,0.09253366392247989
CTCF,13,6,7,1.0,25,0.9135,0.901,0.9115,0.913,0.9125,0.9103,0.903779786005559,0.916820213994441,0.969413,0.9652379999999999,0.9689080000000001,0.969047,0.96768,0.9680572,0.965939814553963,0.9701745854460369,0.06462869754436834,0.06553208886703563,0.0645842095720544,0.06867908625476274,0.06650686621018602,0.06598618968968142,0.06387743104220578,0.06809494833715707
CTCF,13,6,7,1.0,30,0.9145,0.9105,0.908,0.9135,0.9095,0.9112,0.9078109168409372,0.9145890831590628,0.9692549999999999,0.968789,0.9666239999999999,0.9680040000000001,0.9678190000000001,0.9680982,0.9668448752220525,0.9693515247779475,0.05353561470921168,0.06077233602308428,0.05661000117536946,0.054425905648588166,0.05778422789714956,0.056625617090680626,0.05306327756679015,0.0601879566145711
CTCF,13,6,7,1.0,35,0.912,0.909,0.9135,0.916,0.911,0.9123000000000001,0.909026619497091,0.9155733805029093,0.968018,0.9680099999999998,0.968993,0.968164,0.9688150000000001,0.9683999999999999,0.9678184046627671,0.9689815953372327,0.05088735990779324,0.04661459615315485,0.0469968152352824,0.047411429979744936,0.04617309326987188,0.04761665890916946,0.04527621106491731,0.04995710675342161
CTCF,13,6,7,1.0,40,0.9075,0.909,0.911,0.9095,0.9105,0.9095000000000001,0.9077997815483544,0.9112002184516458,0.967662,0.9684139999999999,0.96856,0.969131,0.968291,0.9684115999999999,0.9677557447780681,0.9690674552219317,0.03977181037996036,0.045514187527317236,0.04357972734142998,0.043238315682849006,0.04094962939300652,0.042610734064912614,0.03979420839499272,0.04542725973483251
CTCF,13,6,7,1.0,45,0.9135,0.9115,0.9105,0.9105,0.9135,0.9118999999999999,0.9100169233116515,0.9137830766883484,0.968894,0.9690189999999999,0.967465,0.9682319999999999,0.968817,0.9684853999999999,0.9676838125533926,0.9692869874466072,0.03939375387214717,0.036320614690036446,0.035975447178359564,0.03601148182065341,0.03615380307515952,0.03677102012727122,0.034942736928344244,0.0385993033261982
