dataset,g,k,m,C,iters,acc sample 1,acc sample 2,acc sample 3,acc sample 4,acc sample 5,mean acc,lower acc,upper acc,auc sample 1,auc sample 2,auc sample 3,auc sample 4,auc sample 5,mean auc,lower auc,upper auc,stdev sample 1,stdev sample 2,stdev sample 3,stdev sample 4,stdev sample 5,mean stdev,lower stdev,upper stdev
EP300,10,6,4,1.0,1,0.896,0.935,0.9015,0.918,0.916,0.9133000000000001,0.8942778048060437,0.9323221951939565,0.962116,0.9808969999999999,0.9641120000000001,0.974626,0.97345,0.9710401999999998,0.9613531733832247,0.9807272266167749,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923
EP300,10,6,4,1.0,2,0.9245,0.9305,0.945,0.936,0.9165,0.9305,0.917004934407387,0.943995065592613,0.9802209999999999,0.982816,0.986912,0.9815210000000001,0.977285,0.981751,0.9773562679264834,0.9861457320735166,1.1004407708073036,1.0093276246457656,1.1794389394513194,1.0719452372692122,1.029145728036235,1.0780596600419674,0.9949221093409584,1.1611972107429764
EP300,10,6,4,1.0,4,0.9465,0.9505,0.9475,0.946,0.941,0.9462999999999999,0.9420302282082704,0.9505697717917294,0.987924,0.988557,0.988366,0.9890800000000001,0.9860979999999999,0.988005,0.9865846834613891,0.989425316538611,0.5340686336810896,0.4766363654389154,0.5245420661831272,0.4814375513867675,0.4562333313748384,0.4945835896129476,0.4532982966493541,0.5358688825765412
EP300,10,6,4,1.0,6,0.9455,0.9425,0.9505,0.9545,0.9435,0.9472999999999999,0.9410053635728511,0.9535946364271487,0.9889800000000001,0.987855,0.9897750000000001,0.9903700000000001,0.9895299999999999,0.989302,0.9881217936342808,0.9904822063657193,0.28931800130714186,0.28262298289064874,0.2780377407564925,0.3150417122716099,0.29953031420675347,0.2929101502865293,0.2745609092194765,0.31125939135358205
EP300,10,6,4,1.0,8,0.943,0.9485,0.95,0.9485,0.947,0.9474,0.9440740551641942,0.9507259448358059,0.988777,0.988955,0.989907,0.989574,0.98877,0.9891966,0.9885563535647577,0.9898368464352423,0.21321039816041842,0.22326019981843526,0.2126787130079108,0.20946300457192826,0.2048834833951914,0.21269915979077686,0.2042925615750862,0.2211057580064675
EP300,10,6,4,1.0,10,0.9515,0.95,0.948,0.9485,0.948,0.9492,0.9473067168591803,0.9510932831408198,0.989947,0.989692,0.98978,0.990147,0.989622,0.9898376000000001,0.9895751582245402,0.99010004177546,0.18670741399976523,0.14664297541957824,0.17406059530340692,0.1517912364512045,0.17125847412304154,0.1660921390593993,0.1455205482194668,0.18666372989933178
EP300,10,6,4,1.0,15,0.9475,0.95,0.9465,0.9485,0.9525,0.9490000000000001,0.9460880398072099,0.9519119601927902,0.989835,0.989375,0.989563,0.990354,0.990576,0.9899406000000001,0.9893049610432673,0.9905762389567329,0.11176537432990467,0.12419885196058197,0.11873612965251949,0.10387444662622802,0.1101808287520132,0.11375112626424948,0.10396944050220014,0.12353281202629882
EP300,10,6,4,1.0,20,0.945,0.953,0.949,0.953,0.95,0.95,0.9458818664022656,0.9541181335977343,0.989545,0.9905249999999999,0.990012,0.9905279999999999,0.99057,0.990236,0.9896779421311449,0.9907940578688551,0.08879769434761214,0.08646801121542626,0.0811502389861952,0.09549752034984285,0.0803826551994141,0.0864592240196981,0.0787983148267651,0.09412013321263112
EP300,10,6,4,1.0,25,0.952,0.9515,0.95,0.951,0.953,0.9515,0.9501117774474012,0.9528882225525989,0.990207,0.9905470000000001,0.9904989999999999,0.989889,0.9902150000000001,0.9902713999999999,0.9899421159515479,0.9906006840484519,0.06310015454258425,0.06166938273742675,0.06857991369930551,0.07142592780551418,0.06369632170712282,0.0656943400983907,0.06057107319511014,0.07081760700167126
EP300,10,6,4,1.0,30,0.9505,0.95,0.952,0.953,0.9505,0.9512,0.9496417240494747,0.9527582759505254,0.990351,0.990497,0.990533,0.9904560000000001,0.9903930000000001,0.990446,0.9903536983362502,0.9905383016637499,0.05450917461099867,0.056129848586645485,0.05680911533092404,0.05575467033510745,0.05682938155649921,0.05600643808403497,0.05482165023129104,0.0571912259367789
EP300,10,6,4,1.0,35,0.95,0.9485,0.951,0.9525,0.95,0.9503999999999999,0.9485688086859514,0.9522311913140484,0.990367,0.9904569999999999,0.990468,0.9902679999999999,0.9906880000000001,0.9904496,0.9902562138716898,0.9906429861283103,0.050598054544785095,0.048323782937702314,0.05004514057147627,0.05117406613375149,0.04849125467404324,0.04972645977235169,0.04814973800922798,0.0513031815354754
EP300,10,6,4,1.0,40,0.9475,0.9485,0.952,0.951,0.952,0.9501999999999999,0.9476177567852383,0.9527822432147616,0.990499,0.990605,0.990775,0.990452,0.990653,0.9905967999999999,0.99043789514217,0.9907557048578299,0.04430252424960181,0.04272535148047275,0.03724658509399641,0.04333725327013763,0.04154794252395527,0.041831931323632776,0.03841599694580219,0.045247865701463365
EP300,10,6,4,1.0,45,0.9505,0.95,0.951,0.949,0.9535,0.9507999999999999,0.9487130438927638,0.952886956107236,0.990723,0.990701,0.9904870000000001,0.990459,0.990616,0.9905972000000001,0.9904474304082435,0.9907469695917567,0.040113857322860214,0.03883994840368954,0.03824318534969353,0.03452951138660045,0.03540767598616262,0.03742683568980128,0.03449148227951447,0.04036218910008808
EP300,10,6,4,1.0,50,0.9515,0.9515,0.9495,0.9505,0.9515,0.9509000000000001,0.9497894219579209,0.9520105780420792,0.990514,0.9903799999999999,0.9907450000000001,0.9904489999999999,0.9906259999999999,0.9905428000000001,0.9903629313515033,0.9907226686484968,0.03178852106886592,0.031572946609597745,0.03332716419911868,0.03408100647380369,0.033637624425322976,0.0328814525553418,0.03147720915201299,0.034285695958670606
EP300,10,6,4,1.0,70,0.9515,0.951,0.952,0.95,0.95,0.9509000000000001,0.9497894219579209,0.9520105780420792,0.9906429999999999,0.990771,0.9906269999999999,0.990722,0.990709,0.9906944,0.9906208708428171,0.9907679291571828,0.02125037656000868,0.022101059314851207,0.021246847729455308,0.022407868902590146,0.022591724599935394,0.021919575421368142,0.02112852213662985,0.022710628706106434
EP300,10,6,4,1.0,90,0.9535,0.9515,0.95,0.9505,0.952,0.9515,0.9497997815483543,0.9532002184516457,0.990707,0.990568,0.9904879999999999,0.990642,0.990538,0.9905886,0.9904811131989012,0.9906960868010989,0.01861569637559196,0.019044744674900076,0.017310590358758662,0.016362322867371663,0.01814482768654389,0.017895636392633252,0.01656491638295785,0.019226356402308655
EP300,10,6,4,1.0,110,0.951,0.952,0.9485,0.953,0.954,0.9517,0.9490807069263373,0.9543192930736627,0.9907659999999999,0.9906289999999999,0.990795,0.990646,0.9907549999999999,0.9907181999999999,0.9906246482188074,0.9908117517811924,0.014845438210364569,0.015051826118034054,0.01512769239890742,0.014822166959925831,0.013770669021405552,0.014723558541727485,0.014042434679384253,0.015404682404070717
EP300,10,6,4,1.0,130,0.9495,0.952,0.953,0.9515,0.9515,0.9515,0.9499171827609584,0.9530828172390416,0.99072,0.9906649999999999,0.9906619999999999,0.990698,0.990617,0.9906724,0.9906237004880322,0.9907210995119679,0.013255977512005614,0.01324775638429738,0.012264809290682995,0.012019233725054153,0.012563798771185193,0.012670315136645066,0.011968987481590865,0.013371642791699268
