dataset,g,k,m,C,iters,acc sample 1,acc sample 2,acc sample 3,acc sample 4,acc sample 5,mean acc,lower acc,upper acc,auc sample 1,auc sample 2,auc sample 3,auc sample 4,auc sample 5,mean auc,lower auc,upper auc,stdev sample 1,stdev sample 2,stdev sample 3,stdev sample 4,stdev sample 5,mean stdev,lower stdev,upper stdev
JUND,10,7,3,1.0,1,0.868,0.89,0.888,0.89,0.8865,0.8845000000000001,0.8729019011248833,0.8960980988751168,0.944733,0.957037,0.952352,0.9552409999999999,0.956085,0.9530896,0.946894961857086,0.959284238142914,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923
JUND,10,7,3,1.0,2,0.891,0.884,0.8965,0.901,0.889,0.8923,0.8840918590125519,0.900508140987448,0.959397,0.9570519999999999,0.9609150000000002,0.963402,0.957368,0.9596268,0.9563595377938389,0.9628940622061611,0.6301253613484326,0.6288678419339716,0.6495364125469701,0.7005454075689648,0.6711425212710569,0.6560435089338792,0.6184792803669013,0.6936077375008571
JUND,10,7,3,1.0,4,0.901,0.899,0.9065,0.8965,0.9065,0.9019,0.8963228688065922,0.9074771311934079,0.9663329999999999,0.9643809999999999,0.9665030000000001,0.963219,0.9652519999999999,0.9651375999999999,0.9634306105697528,0.9668445894302471,0.239139211482428,0.28820028508600953,0.26441742838340865,0.29452660690655474,0.2728276087099682,0.2718222281136738,0.24470564668679706,0.2989388095405505
JUND,10,7,3,1.0,6,0.9005,0.904,0.902,0.9055,0.9085,0.9041,0.9002378460981064,0.9079621539018936,0.966027,0.965537,0.964689,0.965857,0.966434,0.9657087999999998,0.9648949091861317,0.9665226908138679,0.17763323605238052,0.1505579384172656,0.17674804276328313,0.1635974349363082,0.16328927288809808,0.16636518501146708,0.15245850069763361,0.18027186932530054
JUND,10,7,3,1.0,8,0.9115,0.9075,0.9065,0.9035,0.909,0.9075999999999999,0.9039166293340158,0.9112833706659839,0.9677580000000001,0.9658779999999999,0.966727,0.966486,0.9649519999999999,0.9663602000000001,0.9650698612436893,0.9676505387563109,0.15753831366452214,0.11293666480338091,0.10487336565128474,0.1121809547711691,0.11475854016594897,0.12045756781126118,0.09429854582166143,0.14661658980086095
JUND,10,7,3,1.0,10,0.9025,0.898,0.9025,0.8975,0.9045,0.901,0.8971729345312451,0.9048270654687549,0.967247,0.9654100000000001,0.9671569999999999,0.9634960000000001,0.965639,0.9657898000000001,0.9638842224650269,0.9676953775349734,0.10214203278081076,0.09188499450880294,0.10738089258196626,0.08360987856047987,0.0936223917591612,0.0957280380382442,0.08423038920773325,0.10722568686875515
JUND,10,7,3,1.0,15,0.907,0.9055,0.904,0.9085,0.9065,0.9063000000000001,0.904213043892764,0.9083869561072362,0.966992,0.967472,0.967239,0.967342,0.967065,0.9672219999999999,0.9669777848607464,0.9674662151392535,0.06402457415650654,0.06634579098929146,0.06858799004933024,0.06567971263896959,0.05984019493034233,0.06489565255288803,0.06084035829681042,0.06895094680896563
JUND,10,7,3,1.0,20,0.907,0.9065,0.9045,0.9065,0.905,0.9058999999999999,0.904554068298831,0.9072459317011689,0.967734,0.967268,0.967177,0.9675050000000001,0.9672789999999999,0.9673925999999999,0.9671121232461286,0.9676730767538713,0.046996657465414635,0.050682411385819304,0.04471812061190114,0.062068263578174694,0.04119167393803909,0.04913142539586977,0.039181801131477005,0.05908104966026253
JUND,10,7,3,1.0,25,0.9075,0.906,0.908,0.905,0.9085,0.907,0.9051899792392282,0.9088100207607719,0.967924,0.9677259999999999,0.96801,0.9668939999999999,0.9679340000000001,0.9676975999999999,0.9671247785303455,0.9682704214696544,0.041130677711004614,0.03643293383598973,0.036599933897733555,0.040144255624694404,0.0394236376262797,0.0387462877391404,0.036108162713865605,0.04138441276441519
JUND,10,7,3,1.0,30,0.905,0.906,0.906,0.9075,0.905,0.9059000000000001,0.9046276730142543,0.907172326985746,0.967584,0.966993,0.967576,0.9673,0.967216,0.9673337999999999,0.9670218822396998,0.9676457177603001,0.041307978350660454,0.030187360453697392,0.029280370466307357,0.030933063475208845,0.029420662194830072,0.03222588698814083,0.025868593984499224,0.038583179991782436
JUND,10,7,3,1.0,35,0.9075,0.902,0.91,0.909,0.9055,0.9067999999999999,0.9028588168583931,0.9107411831416068,0.967401,0.967265,0.9678459999999999,0.9673379999999999,0.9675740000000002,0.9674847999999999,0.9671967267273073,0.9677728732726926,0.025281789835709917,0.02693067295848347,0.024895287315871106,0.02608428569126304,0.024931461601694346,0.025624699480604373,0.024540997418371256,0.02670840154283749
