dataset,g,k,m,C,iters,acc sample 1,acc sample 2,acc sample 3,acc sample 4,acc sample 5,mean acc,lower acc,upper acc,auc sample 1,auc sample 2,auc sample 3,auc sample 4,auc sample 5,mean auc,lower auc,upper auc,stdev sample 1,stdev sample 2,stdev sample 3,stdev sample 4,stdev sample 5,mean stdev,lower stdev,upper stdev
KAT2B,13,6,7,1.0,1,0.7649572649572649,0.7934472934472935,0.8062678062678063,0.801994301994302,0.8091168091168092,0.7951566951566952,0.7729449427608102,0.8173684475525802,0.852696000844149,0.8662673192587722,0.8746195241921737,0.8836616585904334,0.9028741649824271,0.876023733573591,0.852623834263724,0.899423632883458,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923
KAT2B,13,6,7,1.0,2,0.8133903133903134,0.7962962962962963,0.8062678062678063,0.8276353276353277,0.7991452991452992,0.8085470085470086,0.7929458526946294,0.8241481643993878,0.8966242157125347,0.8832882849976867,0.8816324542820269,0.8936696942394947,0.8898304396879897,0.8890090177839465,0.8809734188878463,0.8970446166800466,3.254496576049016,3.239959868006115,3.741571927480077,3.3657742178056678,3.2240283937285654,3.365166196613889,3.0948896308164175,3.6354427624113606
KAT2B,13,6,7,1.0,4,0.8376068376068376,0.8262108262108262,0.8433048433048433,0.8247863247863247,0.8433048433048433,0.8350427350427351,0.8238282327661741,0.846257237319296,0.9048709020218991,0.897338495629094,0.9059504387139715,0.9044244770740497,0.920471424744929,0.9066111476367886,0.8961057625595722,0.9171165327140051,1.5190999157420682,1.3461222680480356,1.3789094153205288,1.2411831936097244,1.6748306518723746,1.4320290889185463,1.223187843582517,1.6408703342545756
KAT2B,13,6,7,1.0,6,0.8262108262108262,0.8404558404558404,0.8233618233618234,0.8532763532763533,0.8390313390313391,0.8364672364672364,0.8214901769812851,0.8514442959531877,0.9068838726958385,0.9106013749888393,0.903661496254089,0.9211775878442545,0.9103172863856624,0.9105283236337367,0.9023415280335884,0.918715119233885,0.7546819277120391,1.0844095412023709,0.7952991451475404,0.8905235483399072,0.7561688978272328,0.8562166120458181,0.6836311743117811,1.0288020497798551
KAT2B,13,6,7,1.0,8,0.8404558404558404,0.8390313390313391,0.8418803418803419,0.8447293447293447,0.8319088319088319,0.8396011396011396,0.8336553957058802,0.845546883496399,0.9160964602560043,0.9034179917370802,0.9167214551829936,0.9125250606732088,0.9140997232165324,0.9125721382131639,0.9058921530241034,0.9192521234022243,0.775568756652655,0.679811647780852,0.5830798152718297,0.6823569354578177,0.5911013439577043,0.6623836998241718,0.5644499344124789,0.7603174652358646
KAT2B,13,6,7,1.0,10,0.8418803418803419,0.8333333333333334,0.8418803418803419,0.8504273504273504,0.8304843304843305,0.8396011396011396,0.8297849636320475,0.8494173155702317,0.9179146273163367,0.9117945471221824,0.910544557268204,0.9134666114723095,0.9061614759620458,0.9119763638282155,0.9066581899639362,0.9172945376924947,0.4641905356225962,0.5923312393339147,0.6252016268266478,0.4596283887105092,0.5625498639437392,0.5407803308874815,0.4472219612456707,0.6343387005292922
KAT2B,13,6,7,1.0,15,0.8376068376068376,0.8475783475783476,0.8618233618233618,0.8304843304843305,0.8347578347578347,0.8424501424501424,0.8268991996531889,0.8580010852470958,0.9145217977126809,0.9179876786714394,0.9237749693590149,0.9093838524037954,0.9157474371149584,0.9162831470523777,0.9097711422038114,0.922795151900944,0.3545732298479234,0.30905369873133953,0.37282619684738516,0.347130664233016,0.45545603425741,0.3678079647834148,0.3004766250539604,0.43513930451286925
KAT2B,13,6,7,1.0,20,0.8589743589743589,0.8518518518518519,0.8418803418803419,0.8532763532763533,0.8490028490028491,0.850997150997151,0.8432267106386048,0.8587675913556972,0.9228983530977832,0.9175899546269917,0.9172977492065812,0.9164698338487511,0.9223869936120648,0.9193285768784344,0.9155309979696172,0.9231261557872515,0.24480926606376893,0.26048254492362527,0.2353273020258963,0.2382983848831364,0.2277296566210709,0.24132943090349954,0.22600710496824486,0.2566517568387542
KAT2B,13,6,7,1.0,25,0.8490028490028491,0.8461538461538461,0.8532763532763533,0.8447293447293447,0.8475783475783476,0.8481481481481481,0.8440761749416138,0.8522201213546824,0.9188399444809701,0.9167539224519281,0.9156906193943233,0.920057467066014,0.91892922947054,0.9180542365727551,0.9158440934138493,0.9202643797316609,0.19735906418468988,0.20867548080178805,0.19126666964478428,0.18745590723964012,0.2463352601984266,0.2062184764138658,0.17664266990823185,0.23579428291949972
KAT2B,13,6,7,1.0,30,0.8475783475783476,0.8447293447293447,0.8532763532763533,0.8532763532763533,0.8418803418803419,0.8481481481481481,0.8418200681363013,0.8544762281599949,0.9225087458705693,0.9186289072328959,0.9180201459403737,0.9177604077888979,0.915430881242847,0.9184698176151169,0.9152872525656042,0.9216523826646297,0.34976226888313217,0.1525332229999773,0.15670839192585445,0.16884832480953726,0.15540716881292588,0.19665187548628543,0.09009479661895042,0.30320895435362044
