dataset,g,k,m,C,iters,acc sample 1,acc sample 2,acc sample 3,acc sample 4,acc sample 5,mean acc,lower acc,upper acc,auc sample 1,auc sample 2,auc sample 3,auc sample 4,auc sample 5,mean auc,lower auc,upper auc,stdev sample 1,stdev sample 2,stdev sample 3,stdev sample 4,stdev sample 5,mean stdev,lower stdev,upper stdev
RAD21,14,6,8,100.0,1,0.842,0.8325,0.812,0.835,0.8025,0.8248000000000001,0.8040202048770151,0.8455797951229851,0.928298,0.9107869999999999,0.8975609999999999,0.923141,0.8905660000000001,0.9100705999999998,0.8900444976491821,0.9300967023508175,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923
RAD21,14,6,8,100.0,2,0.88,0.8705,0.87,0.84,0.8725,0.8666,0.8474777697307307,0.8857222302692693,0.9536279999999999,0.9505990000000001,0.948825,0.929285,0.9470190000000002,0.9458712,0.9339670082897911,0.957775391710209,1.183496216028308,1.2057363828331449,1.2347563781342974,1.267141636138984,1.3124134868324808,1.2407088199934428,1.1774813006919893,1.3039363392948964
RAD21,14,6,8,100.0,4,0.8955,0.89,0.898,0.883,0.889,0.8911,0.8838015923868804,0.8983984076131196,0.961404,0.9593769999999999,0.9640009999999999,0.9583809999999999,0.9605660000000001,0.9607458,0.9580734968411996,0.9634181031588004,0.45988075294576575,0.48202222048143156,0.5069507774226907,0.5132051765868916,0.5174384661132273,0.4958994787100014,0.4656408552785962,0.5261581021414066
RAD21,14,6,8,100.0,6,0.893,0.893,0.9,0.898,0.9005,0.8968999999999999,0.8923293945134042,0.9014706054865956,0.960337,0.9622640000000001,0.9670329999999999,0.959244,0.968753,0.9635262000000001,0.9583424027461719,0.9687099972538283,0.3046661849598027,0.3071699899781853,0.2875509954602889,0.28463864885092577,0.3053639664067513,0.2978779571311908,0.28441309047737223,0.3113428237850094
RAD21,14,6,8,100.0,8,0.9005,0.893,0.901,0.906,0.895,0.8991,0.892672064858536,0.905527935141464,0.9642759999999999,0.9646629999999999,0.964577,0.968632,0.964573,0.9653442,0.963054848116658,0.967633551883342,0.22021095932943163,0.22100109842995974,0.22661655583893606,0.2267029442287384,0.2216903360758823,0.22324437878058961,0.21931876413137105,0.22716999342980818
RAD21,14,6,8,100.0,10,0.9,0.909,0.903,0.898,0.905,0.9030000000000001,0.8976594012075374,0.9083405987924629,0.967416,0.9685159999999999,0.9667000000000001,0.9663519999999999,0.9677220000000001,0.9673412000000001,0.9662802468294405,0.9684021531705598,0.205309042935057,0.17177315113006147,0.1643147261335723,0.17716531494140894,0.16670257206687497,0.17705296144139496,0.15650268740888781,0.1976032354739021
RAD21,14,6,8,100.0,15,0.906,0.9125,0.906,0.91,0.9055,0.908,0.9041478387510788,0.9118521612489212,0.971106,0.9730070000000001,0.970318,0.9719340000000001,0.970266,0.9713262,0.9698857240880105,0.9727666759119895,0.11483496337170013,0.11392938006644139,0.11458683285837734,0.1252995433665312,0.1103792645436486,0.11580599684133971,0.10885024526022409,0.12276174842245534
RAD21,14,6,8,100.0,20,0.9125,0.914,0.9075,0.9145,0.9115,0.9119999999999999,0.9085433537200959,0.915456646279904,0.9724090000000001,0.971478,0.971429,0.9726629999999999,0.9708070000000001,0.9717572000000001,0.9708087554609197,0.9727056445390805,0.08322134711822213,0.09069167224574977,0.08571038937365505,0.08900974008760591,0.08621216767397305,0.08696906329984119,0.08333707901195656,0.09060104758772583
RAD21,14,6,8,100.0,25,0.9075,0.9115,0.916,0.9125,0.907,0.9109,0.906266579765361,0.9155334202346391,0.970915,0.972028,0.9719099999999999,0.973128,0.972472,0.9720905999999999,0.9710818224658423,0.9730993775341575,0.06992473627707055,0.06547488572984561,0.06714505496991417,0.06472375341988783,0.06671436042815837,0.0667965581649753,0.06431656609628664,0.06927655023366397
RAD21,14,6,8,100.0,30,0.911,0.9135,0.907,0.913,0.9125,0.9113999999999999,0.9081325121760417,0.914667487823958,0.972253,0.9733599999999999,0.9721450000000001,0.973445,0.972726,0.9727857999999999,0.9720350483194424,0.9735365516805574,0.05449535672536797,0.05685591276492233,0.05528438394252466,0.05744897519365341,0.05369412105452935,0.055555749936199536,0.05359855693612067,0.0575129429362784
