dataset,g,k,m,C,iters,acc sample 1,acc sample 2,acc sample 3,acc sample 4,acc sample 5,mean acc,lower acc,upper acc,auc sample 1,auc sample 2,auc sample 3,auc sample 4,auc sample 5,mean auc,lower auc,upper auc,stdev sample 1,stdev sample 2,stdev sample 3,stdev sample 4,stdev sample 5,mean stdev,lower stdev,upper stdev
SIN3A,8,6,2,1.0,1,0.824,0.8185,0.825,0.8155,0.8195,0.8205,0.8155918920963061,0.8254081079036939,0.8916799999999999,0.892653,0.8984809999999999,0.887098,0.889657,0.8919137999999999,0.8866453437604438,0.8971822562395559,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923,3162.2775020544923
SIN3A,8,6,2,1.0,2,0.834,0.837,0.826,0.8205,0.8365,0.8308,0.8217968656766552,0.8398031343233447,0.9038809999999999,0.9084409999999999,0.8992930000000001,0.896278,0.9067149999999999,0.9029216,0.8966184499195493,0.9092247500804507,0.9721655322469294,1.4121517849254612,1.080585624721069,1.077403232841322,1.0139197987616375,1.1112451946992838,0.8948913010123153,1.3275990883862523
SIN3A,8,6,2,1.0,4,0.8325,0.8265,0.8285,0.8325,0.835,0.8309999999999998,0.8267437902492809,0.8352562097507188,0.9082220000000001,0.908258,0.9069029999999999,0.904919,0.909589,0.9075782,0.9053878713781759,0.9097685286218241,0.2856847483572394,0.43043685525873987,0.47743005856750637,0.38417424550650414,0.5275369835640529,0.42105257825080855,0.30608985576469844,0.5360153007369186
SIN3A,8,6,2,1.0,6,0.836,0.8385,0.8435,0.8345,0.843,0.8391,0.83406781292261,0.8441321870773899,0.909011,0.90749,0.910771,0.9060980000000001,0.910374,0.9087488,0.9063116382262854,0.9111859617737147,0.28232043816758273,0.2539434248702052,0.3255057146001288,0.29837701546217626,0.2778781621041642,0.28760495104085143,0.2547058918638035,0.32050401021789937
SIN3A,8,6,2,1.0,8,0.8385,0.8375,0.8305,0.84,0.8365,0.8366,0.8320717550703401,0.8411282449296599,0.9096470000000001,0.909461,0.9111509999999999,0.9096089999999999,0.909159,0.9098054,0.9088414601629562,0.9107693398370438,0.21803883876139832,0.24364193597210568,0.19317111137750823,0.22472914713563927,0.2045776962538533,0.21683174590010096,0.1928464122588346,0.24081707954136733
SIN3A,8,6,2,1.0,10,0.8315,0.8365,0.8345,0.836,0.8365,0.8350000000000002,0.832366032900745,0.8376339670992554,0.909328,0.9092190000000001,0.9092739999999999,0.9100550000000002,0.9095599999999999,0.9094872,0.9090613858187458,0.9099130141812543,0.15843430219864502,0.15349371411238952,0.1703199717470872,0.17601710663654285,0.14375038190076145,0.16040309531908523,0.14432042654445262,0.17648576409371783
SIN3A,8,6,2,1.0,15,0.8385,0.837,0.835,0.8375,0.8365,0.8369,0.8352930162146339,0.838506983785366,0.9112899999999999,0.9106939999999999,0.9110240000000001,0.911152,0.91166,0.911164,0.9107238936014467,0.9116041063985533,0.1102395673659009,0.10440257577690118,0.13165487613732635,0.12317885013444,0.1143793840554147,0.11677105069399663,0.10339867431015817,0.13014342707783508
SIN3A,8,6,2,1.0,20,0.8355,0.8365,0.8335,0.837,0.836,0.8357000000000001,0.8340226043075368,0.8373773956924634,0.911519,0.9119410000000001,0.9107859999999999,0.911977,0.9102809999999999,0.9113008,0.9103758384911397,0.9122257615088604,0.07245421082306773,0.0748363022361647,0.0733711469196697,0.07062891164895783,0.0820777487703133,0.07467366407963466,0.0691966214387784,0.08015070672049092
SIN3A,8,6,2,1.0,25,0.838,0.8365,0.837,0.837,0.8365,0.837,0.8362396391931042,0.8377603608068958,0.9114499999999999,0.9110750000000001,0.911476,0.9106819999999999,0.9115260000000001,0.9112418,0.9107940407429975,0.9116895592570025,0.06777140711512522,0.059276258246868316,0.06821594538600557,0.06841799507509413,0.05909433579263367,0.06455518832314537,0.0584610812219478,0.07064929542434294
SIN3A,8,6,2,1.0,28,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.9113829999999998,0.9113829999999998,0.9113829999999998,0.9113829999999998,0.9113829999999998,0.9113829999999998,0.9113829999999998,0.9113829999999998,0.05347795790893701,0.06335706419493803,0.05315985866448334,0.051840608236433834,0.06624526383709628,0.0576161505683777,0.04933881029185546,0.06589349084489993
